SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514326,PATSPIN INDI,B ,Q,16.45,16.45,15.50,15.90,15.80,16.20,10,5137,84125.00,
514330,OVERSEAS SYN,XT,Q,8.27,8.70,8.27,8.70,8.70,8.70,3,12000,104077.00,
514358,EVERLON SYN.,XT,Q,13.70,13.70,13.70,13.70,13.70,13.05,2,656,8987.00,
514366,CITIZEN YARN,XT,Q,0.51,0.51,0.51,0.51,0.51,0.51,1,30,15.00,
514394,AJIL        ,X ,Q,69.00,69.00,63.50,64.80,63.50,70.00,21,1485,96902.00,
514400,GARWARE SYN.,X ,Q,10.95,10.95,10.95,10.95,10.95,11.49,1,5,54.00,
514412,SARUPINDUS  ,X ,Q,62.50,62.50,62.25,62.35,62.25,60.75,2,25,1558.00,
514418,MANORG      ,X ,Q,203.00,218.50,203.00,217.65,218.50,205.10,136,11648,2476989.00,
514428,HINDU.ADHESI,X ,Q,109.90,109.90,109.90,109.90,109.90,106.00,1,1,109.00,
514442,SRI KPR IND ,XT,Q,27.50,27.50,27.00,27.50,27.50,27.50,5,751,20527.00,
514450,MAHA.RUBTECH,X ,Q,51.30,51.30,49.20,51.30,51.30,51.30,9,586,29055.00,
514470,WIMSOME TEXT,B ,Q,47.50,47.60,45.00,46.30,46.00,44.70,62,61730,2831648.00,
514474,FAIRDEAL FIL,X ,Q,88.80,90.55,85.05,88.90,88.90,88.05,61,69286,6107424.00,
514484,THAMBI MOD. ,XT,Q,6.20,6.20,6.20,6.20,6.20,6.50,3,150,930.00,
515030,ASAHI IN.GLA,B ,Q,365.10,370.00,361.00,362.85,363.60,364.95,142,6846,2498681.00,
515037,MURD.CERAM  ,B ,Q,41.50,41.50,39.20,39.95,39.95,37.55,429,48120,1930334.00,
515043,SAINT-GOBAIN,X ,Q,80.15,83.30,79.05,80.50,80.50,80.10,1280,221768,17993251.00,
515055,ANANTRAJ    ,B ,Q,47.40,48.40,46.80,47.10,47.10,47.10,628,119817,5692250.00,
515059,MADHUS.IND. ,XT,Q,15.10,15.10,15.10,15.10,15.10,14.40,1,500,7550.00,
515085,RESTILE CER.,X ,Q,5.30,5.30,4.45,4.92,4.92,4.98,27,5212,25343.00,
515093,MADHAV MARB.,B ,Q,52.25,53.55,51.80,52.60,52.40,51.50,19,2105,110622.00,
515127,RAMASIGNS   ,X ,Q,20.45,20.45,18.30,20.00,20.00,20.25,28,3302,62737.00,
515145,HIND.NAT.GLS,B ,Q,105.00,105.00,98.95,99.20,99.00,99.80,39,1580,157699.00,
515147,HALDYN GLASS,X ,Q,41.00,41.70,40.50,40.85,41.00,41.00,117,25515,1043659.00,
516003,SARDA PLY.  ,X ,Q,145.00,148.50,136.00,137.55,136.00,142.55,51,3995,552580.00,
516007,MANGALAM TIM,B ,Q,28.65,28.70,27.50,28.70,28.70,26.10,198,54193,1546562.00,
516016,SHREYANS IND,B ,Q,172.60,172.60,169.60,171.10,170.05,170.50,24,1944,332630.00,
516022,STAR PAPER  ,B ,Q,232.60,233.00,226.00,226.80,226.80,229.75,187,9850,2258175.00,
516030,YASH PAPERS ,X ,Q,85.00,87.90,84.70,85.05,85.05,86.00,268,32388,2785442.00,
516064,ARROWGREEN  ,B ,Q,354.90,354.90,336.20,341.00,341.00,345.05,97,1164,400256.00,
516072,VISHNU CHEM ,B ,Q,288.00,295.95,286.00,295.00,295.95,291.00,23,1414,414997.00,
516078,JUMBO BAG   ,Z ,Q,14.00,14.00,14.00,14.00,14.00,13.35,2,700,9800.00,
516082,N.R.AGARWAL ,B ,Q,517.50,525.30,496.75,499.30,500.90,511.60,111,2067,1049018.00,
516092,PUDMJEE IND ,B ,Q,14.50,14.50,14.20,14.25,14.25,14.05,5,1603,23092.00,
516096,SANGAL PAPER,XT,Q,127.30,127.30,126.80,127.30,127.30,121.25,17,3803,483956.00,
516106,SH.KARTHIK P,X ,Q,17.90,17.90,16.70,17.05,17.00,17.85,13,727,12396.00,
516108,S.I.PAPER   ,XT,Q,118.00,119.80,116.00,116.00,116.00,115.10,22,2252,266071.00,
516110,SCANDENT    ,XT,Q,19.50,19.50,18.30,18.30,18.30,18.70,19,775,14737.00,
517015,VINDHYA TELE,B ,Q,1223.80,1223.80,1183.00,1193.70,1190.05,1200.40,117,1048,1262968.00,
517035,RUTTONSHA IN,X ,Q,46.55,48.10,46.10,46.25,46.10,48.40,11,474,22132.00,
517041,ADORWELDING ,B ,Q,397.00,400.00,392.10,394.10,397.00,397.55,26,445,176155.00,
517059,SALZER ELEC ,B ,Q,207.95,208.00,204.00,204.35,204.00,206.60,48,2310,475848.00,
517063,JETINFOTRAN ,X ,Q,62.00,64.70,62.00,62.10,62.00,62.00,7,557,34743.00,
517080,HIGHGROUND  ,B ,Q,13.39,14.05,13.00,13.60,13.60,13.29,367,174258,2365366.00,
517119,PCS TECH    ,X ,Q,22.00,22.05,21.10,21.25,21.25,22.00,13,640,13797.00,
517140,MOSER BEAR  ,T ,Q,3.04,3.20,3.04,3.04,3.04,3.20,140,92937,283439.00,
517146,USHA MART.LT,B ,Q,24.25,24.75,23.70,23.80,23.75,24.00,158,38302,928328.00,
517164,ZENITH COMP.,XT,Q,1.20,1.28,1.16,1.28,1.28,1.22,19,610,736.00,
517166,SPEL SEMICON,X ,Q,11.75,12.45,11.75,12.13,12.45,12.37,28,12201,147639.00,
517168,SUBROS LTD. ,B ,Q,332.05,333.00,327.00,327.80,328.00,328.35,97,3612,1191625.00,
